"Data_subset","Order","Species_name","Common_name","Conservation_status","Bird_region","N_Years","Beta_dd","SE(Beta_dd)","Beta_dd/SE(Beta_dd)","Beta_km","SE_(Beta_km)","Direction","t_Value","p_Value","Significance","Correlation_Structure","Hand_Wing_Index","Habitat_Density","Migration","Territoriality","Thermal_Optimum","Thermal_Range","Thermal_Range_Precision","SSI"
"East","Passeriformes","Setophaga discolor","Prairie Warbler","LC","East",55,-0.0417251429985311,0.017028403979788,2.45032611676685,-4.64484291859648,1.89560193103,"Southward",-2.45032611676685,0.0176076357367204,"Significant","AR2",20,"Semi-open","Migrant","Weak",23.6670369858241,7.21492157160483,"Precise",1.4928145479935
"East","Passeriformes","Setophaga dominica","Yellow-throated Warbler","LC","East",55,0.0772820405271383,0.0217056381677236,3.56045926546666,8.60303675148104,2.41627164083099,"Northward",3.56045926546666,0.000791394500818502,"Significant","AR1",27.7,"Semi-open","Migrant","Weak",22.414463916654,7.34539980878024,"Precise",1.58319268570127
"East","Passeriformes","Setophaga fusca","Blackburnian Warbler","LC","East",55,-0.0148524554838309,0.0113282739486286,1.31109607263946,-1.65337534446006,1.26106345596134,"Southward",-1.31109607263946,0.19547755283085,"Non-Significant","AR2",32.4,"Dense","Migrant","Weak",15.2720706114245,4.74019825041149,"Precise",1.66649803936416
"East","Passeriformes","Setophaga petechia","Yellow Warbler","LC","Widespread",53,-0.0400701850167383,0.0159066095069486,2.51909025611235,-4.46061299606331,1.77072377031352,"Southward",-2.51909025611236,0.0149426889720682,"Significant","AR1",23.6,"Dense","Migrant","Weak",17.7536358351996,20.878254854498,"Precise",0.599310585001137
"East","Passeriformes","Setophaga pinus","Pine Warbler","LC","East",55,0.0243673156967512,0.0104713207449439,2.32705274628485,2.71256958336234,1.16566742532715,"Northward",2.32705274628483,0.0238154267482033,"Significant","AR1",28.6,"Semi-open","Migrant","Weak",22.160982011219,7.2735962535472,"Precise",0.944561910141051
"East","Passeriformes","Setophaga ruticilla","American Redstart","LC","Widespread",28,-0.000621938440244498,0.0119318065349376,0.0521244153953885,-0.0692341871680175,1.32824870346925,"Southward",-0.0521244153953883,0.958827977718407,"Non-Significant","AR2",24.6,"Dense","Migrant","Weak",15.658666583879,12.5062386899236,"Precise",0.970118967640949
"East","Passeriformes","Setophaga virens","Black-throated Green Warbler","LC","East",54,-0.0137626025603745,0.00818335269918949,1.68178044699669,-1.53205291702089,0.910970822473774,"Southward",-1.6817804469967,0.0986083685205437,"Non-Significant","AR1",26.5,"Dense","Migrant","Weak",15.3430222331144,7.3985279285692,"Precise",1.67978282349845
"East","Passeriformes","Sitta canadensis","Red-breasted Nuthatch","LC","Widespread",49,-0.006985404665674,0.0121865638335817,0.573205438470259,-0.77761524738283,1.35660828595431,"Southward",-0.573205438470259,0.569238157807706,"Non-Significant","AR1",26.2,"Dense","Migrant","Weak",11.7808262714066,17.5518342457946,"Precise",0.765976520432015
"East","Passeriformes","Sitta carolinensis","White-breasted Nuthatch","LC","Widespread",49,-0.0671156142585101,0.026306705084391,2.5512740589597,-7.47131017925734,2.92846240999441,"Southward",-2.5512740589597,0.0140471846732758,"Significant","AR2",31.2,"Dense","Resident","Weak",16.8595343029095,13.8300712741483,"Precise",0.900210858617233
"East","Passeriformes","Sitta pusilla","Brown-headed Nuthatch","LC","East",55,0.0235749461400554,0.00393360795569602,5.99321193305956,2.62436300431097,0.437889237628081,"Northward",5.99321193305956,1.8561645737105e-07,"Significant","AR1",23.3,"Dense","Resident","Strong",18.3291772230869,6.04782053224222,"Precise",2.0002815060588
"East","Piciformes","Sphyrapicus varius","Yellow-bellied Sapsucker","LC","Widespread",18,-0.10127943219876,0.0470727136076067,2.15155287292368,-11.274426392366,5.24013447879878,"Southward",-2.15155287292369,0.0470513022582234,"Significant","AR1",33.9,"Dense","Migrant","Weak",13.796965347035,7.31035298242931,"Precise",1.62413830157679
"East","Passeriformes","Spinus pinus","Pine Siskin","LC","Widespread",31,0.0438960589516532,0.0215722247597002,2.03484153538289,4.88650928249803,2.40142006024983,"Northward",2.03484153538289,0.051099380205427,"Non-Significant","AR1",35.2,"Dense","Resident","Weak",2.88989626074428,12.5006085465251,"Precise",1.28927570813157
"East","Passeriformes","Spinus tristis","American Goldfinch","LC","Widespread",54,-0.0152984111746243,0.00469065000921554,3.26146933678021,-1.70301913195918,0.522163159025874,"Southward",-3.26146933678021,0.00195977537324911,"Significant","AR1",27.6,"Dense","Resident","Weak",20.2333237605726,15.0462762296414,"Precise",0.81209159365495
"East","Passeriformes","Spiza americana","Dickcissel","LC","Widespread",54,0.0207892027266802,0.0155689596557767,1.3352981307885,2.31425404753404,1.73313658888106,"Northward",1.3352981307885,0.187594904664809,"Non-Significant","AR1",26.4,"Open","Migrant","Weak",23.0744757265079,8.99760140330459,"Precise",1.36319655088285
"East","Passeriformes","Spizella pallida","Clay-colored Sparrow","LC","Widespread",48,0.00661196142430782,0.0472198197341198,0.140025130581559,0.736043545753946,5.25651033280222,"Northward",0.140025130581559,0.889251462286241,"Non-Significant","AR2",18.6,"Semi-open","Migrant","Weak",15.715062113781,4.75548301194685,"Precise",0.881909068865136
"East","Passeriformes","Spizella passerina","Chipping Sparrow","LC","Widespread",53,-0.116528700703092,0.031764137986265,3.66856172056297,-12.9719749622682,3.53598384063102,"Southward",-3.66856172056299,0.000582953244007655,"Significant","AR1",24.2,"Semi-open","Migrant","Weak",18.0199510599898,25.3395623110632,"Precise",0.393640621287893
"East","Passeriformes","Spizella pusilla","Field Sparrow","LC","Widespread",33,0.0136721191572996,0.043823612062851,0.31198065412069,1.52198030459059,4.87844449483657,"Northward",0.311980654120689,0.757143998254377,"Non-Significant","AR2",16.7,"Semi-open","Partial","Weak",18.7402511853589,11.4705832909388,"Precise",0.750775573285208
"East","Passeriformes","Stelgidopteryx serripennis","Northern Rough-winged Swallow","LC","Widespread",53,0.0760007248232039,0.0320358518498153,2.37236472373192,8.46040068731906,3.56623102792144,"Northward",2.37236472373193,0.021484548461577,"Significant","AR2",50.7,"Open","Migrant","None",35.1415460423314,35.9233333333333,"Imprecise",1.06240342496551
"East","Passeriformes","Sturnella magna","Eastern Meadowlark","NT","Widespread",26,0.0804473633038521,0.0185066228352904,4.34694995515046,8.95540048298482,2.06015725402453,"Northward",4.34694995515047,0.000218595468675603,"Significant","AR1",24.8,"Open","Partial","Weak",14.4938088746608,22.8170804283235,"Precise",1.08222865958284
"East","Passeriformes","Sturnella neglecta","Western Meadowlark","LC","Widespread",54,-0.0846230802864955,0.0212822003609321,3.97623736509119,-9.42024129749268,2.36913454417896,"Southward",-3.97623736509119,0.000217279137943194,"Significant","AR1",27.8,"Open","Partial","Weak",13.624165478754,14.5422471470802,"Precise",1.81981722515502
"East","Passeriformes","Sturnus vulgaris","European Starling","LC","Widespread",53,-0.019601016067721,0.00375196095269939,5.22420577261574,-2.1819851086587,0.417668293254496,"Southward",-5.22420577261573,3.26492848197132e-06,"Significant","AR2",38.4,"Open","Partial","None",14.8278490027242,17.2029911921917,"Precise",1.19882703049501
"East","Passeriformes","Tachycineta bicolor","Tree Swallow","LC","Widespread",53,-0.019601016067721,0.00375196095269939,5.22420577261574,-2.1819851086587,0.417668293254496,"Southward",-5.22420577261573,3.26492848197132e-06,"Significant","AR2",53,"Open","Migrant","None",16.0612801908445,20.6550688420642,"Precise",0.714867726663861
"East","Passeriformes","Thryomanes bewickii","Bewick's Wren","LC","Widespread",50,0.0119444513712562,0.0196706301205749,0.60722261046242,1.32965632664824,2.1897345450224,"Northward",0.607222610462421,0.546565099621182,"Non-Significant","AR1",13.8,"Semi-open","Partial","Weak",28.9045113358331,12.3197403955076,"Precise",1.5977675635741
"East","Passeriformes","Thryothorus ludovicianus","Carolina Wren","LC","East",55,0.0765289182146935,0.0339591304494493,2.25355941691771,8.51919917565968,3.7803304016327,"Northward",2.25355941691772,0.028384937045742,"Significant","AR2",11.4,"Semi-open","Resident","Strong",24.3114128403983,9.66309999099593,"Precise",0.725181277582439
"East","Passeriformes","Toxostoma rufum","Brown Thrasher","LC","Widespread",54,-0.0680629412237693,0.0317563058131173,2.14328900925419,-7.57676661703,3.53511196311622,"Southward",-2.14328900925419,0.036788604021827,"Significant","AR2",13.9,"Dense","Partial","Weak",21.9530500443432,13.9821337212494,"Precise",0.666821437884127
"East","Passeriformes","Troglodytes aedon","House Wren","LC","Widespread",53,0.00761364945804646,0.00590871768816474,1.28854513954808,0.847551457669732,0.657758453046499,"Northward",1.28854513954808,0.203371213656649,"Non-Significant","AR2",12.9,"Open","Resident","Strong",16.8992374982413,14.7301062026604,"Precise",0.757074964795698
"East","Passeriformes","Turdus migratorius","American Robin","LC","Widespread",53,-0.0187027269610399,0.00955234029634516,1.95792092626723,-2.08198756530296,1.06336652178914,"Southward",-1.95792092626723,0.0557209777333594,"Non-Significant","AR2",29,"Open","Migrant","Weak",17.8180493012325,23.1193578411736,"Precise",0.343042079783955
"East","Passeriformes","Tyrannus tyrannus","Eastern Kingbird","LC","Widespread",54,-0.0363888931614511,0.0239024543563094,1.52239149248059,-4.05081158673274,2.66082121894436,"Southward",-1.52239149248059,0.133969559164974,"Non-Significant","AR1",33.3,"Semi-open","Migrant","Weak",23.4222448376878,16.7904906767443,"Precise",0.866314905436624
"East","Passeriformes","Tyrannus verticalis","Western Kingbird","LC","Widespread",52,-0.169605285386977,0.0294424117592999,5.76057718279156,-18.8804603692783,3.27752927704526,"Southward",-5.76057718279155,5.14340225099879e-07,"Significant","AR1",33.2,"Open","Migrant","Weak",20.1737893598918,12.0638314656567,"Precise",1.37684693666199
"East","Passeriformes","Vermivora chrysoptera","Golden-winged Warbler","NT","East",54,0.0207870534837316,0.0552093125251475,0.376513536086203,2.314014793809,6.14590067029942,"Northward",0.376513536086203,0.708067141711021,"Non-Significant","AR2",25.9,"Semi-open","Migrant","Weak",16.5487205954354,35.9233333333333,"Imprecise",1.67435076102612
"East","Passeriformes","Vermivora cyanoptera","Blue-winged Warbler","LC","East",55,-0.0122689374528941,0.00973794810863641,1.25990992311953,-1.36577811725617,1.08402838345341,"Southward",-1.25990992311953,0.213221502230705,"Non-Significant","AR1",25.2,"Dense","Migrant","Weak",17.5984063550957,4.8176786659772,"Precise",1.33008191206697
"East","Passeriformes","Vireo gilvus","Warbling Vireo","LC","Widespread",53,-0.0294346716091072,0.00637432819190069,4.61769000951462,-3.27666764352581,0.709590214322385,"Southward",-4.61769000951463,2.66008555031386e-05,"Significant","AR2",23.5,"Dense","Migrant","Weak",3.75132681474378,20.3587412723706,"Precise",0.766018660497522
"East","Passeriformes","Vireo griseus","White-eyed Vireo","LC","East",55,-0.0253573223791954,0.0188008265761281,1.348734444016,-2.82277712725203,2.09290801445458,"Southward",-1.348734444016,0.183157257522447,"Non-Significant","AR1",17.9,"Semi-open","Migrant","Strong",23.2118221743968,13.3148751819983,"Precise",1.04086632713699
"East","Passeriformes","Vireo olivaceus","Red-eyed Vireo","LC","Widespread",50,0.0384190989796014,0.0682267781597331,0.563108797100961,4.27681409840923,7.59500494474149,"Northward",0.563108797100961,0.575981880658189,"Non-Significant","AR2",29.8,"Dense","Migrant","Weak",15.43095062331,16.1778915164974,"Precise",0.954090230734522
"East","Columbiformes","Zenaida macroura","Mourning Dove","LC","Widespread",54,-0.017833249584125,0.0916413119554362,0.194598366212795,-1.98519734370479,10.2015108468792,"Southward",-0.194598366212796,0.846465674979157,"Non-Significant","AR2",36.6,"Open","Resident","None",23.4355396250807,22.4182007391025,"Precise",0.501852004166166
"East","Passeriformes","Zonotrichia albicollis","White-throated Sparrow","LC","Widespread",28,-0.439424668275503,0.262033574652679,1.67697848971435,-48.916754072429,29.1695775303362,"Southward",-1.67697848971435,0.105530901143517,"Non-Significant","AR1",19.7,"Semi-open","Migrant","Weak",14.5730998242239,7.20668075011378,"Precise",0.916255868938331
"West","Accipitriformes","Accipiter cooperii","Cooper's Hawk","LC","Widespread",40,0.0165352988230857,0.0778882379183284,0.212295197131359,1.8407094649859,8.67051864506832,"Northward",0.212295197131358,0.833011416903924,"Non-Significant","AR1",32.3,"Semi-open","Migrant","Weak",15.6498049648011,43.51195,"Imprecise",2.71336453561745
"West","Passeriformes","Agelaius phoeniceus","Red-winged Blackbird","LC","Widespread",54,0.0360448906230874,0.176164054138557,0.204609792839675,4.01251722416209,19.6105825067042,"Northward",0.204609792839675,0.838675774639673,"Non-Significant","AR2",24,"Open","Migrant","Weak",11.6193152609121,27.7681076020629,"Precise",0.985342050952361
"West","Galliformes","Alectoris chukar","Chukar","LC","West",31,-0.0302790870227282,0.0316860267782637,0.95559746997056,-3.3706679673701,3.52728850095632,"Southward",-0.955597469970561,0.347174260347517,"Non-Significant","AR1",29,"Open","Resident","None",7.28383053474725,46.0673666666667,"Imprecise",2.03783988797495
"West","Passeriformes","Ammodramus savannarum","Grasshopper Sparrow","LC","Widespread",54,0.0377662434772896,0.0151050890066766,2.50023309763991,4.20413822389188,1.68149850822324,"Northward",2.50023309763991,0.0156026367486738,"Significant","AR1",21.1,"Open","Partial","Weak",19.8933383780314,9.73424415568401,"Precise",2.02984644785863
"West","Passeriformes","Aphelocoma californica","California Scrub-Jay","LC","West",50,0.0915905000376397,0.033471450261519,2.73637680238009,10.1958544641901,3.7260418431123,"Northward",2.7363768023801,0.00868285850784701,"Significant","AR2",14.1,"Semi-open","Resident","Strong",16.3161331696861,40.3091,"Imprecise",1.79110334765353
"West","Passeriformes","Aphelocoma woodhouseii","Woodhouse's Scrub-Jay","LC","West",28,0.107841570780516,0.0431419983057675,2.4996888186818,12.004923659287,4.80256725139804,"Northward",2.4996888186818,0.019070897593379,"Significant","AR1",14.1,"Semi-open","Resident","Strong",13.8727544866739,42.345,"Imprecise",2.64469833576387
"West","Passeriformes","Artemisiospiza nevadensis","Sagebrush Sparrow","LC","West",50,-0.0252016139771638,0.0136095606658948,1.85175808358887,-2.80544366793787,1.51501629332741,"Southward",-1.85175808358887,0.0702168200225828,"Non-Significant","AR1",19,"Semi-open","Migrant","Weak",10.2749718123855,40.3091,"Imprecise",2.72950570677667
"West","Passeriformes","Baeolophus inornatus","Oak Titmouse","LC","West",18,0.0192288357681945,0.00832969211413117,2.30846896916792,2.14055399771541,0.927261326145082,"Northward",2.30846896916791,0.0346632124408519,"Significant","AR1",14.4,"Semi-open","Resident","Strong",12.7813157054217,50.04625,"Imprecise",1.74150867631523
"West","Passeriformes","Baeolophus ridgwayi","Juniper Titmouse","LC","West",32,-0.0182941889620928,0.0359689396521177,0.508610738571375,-2.03650911526017,4.00406236207374,"Southward",-0.508610738571374,0.614745293261866,"Non-Significant","AR1",10.5,"Semi-open","Resident","Strong",13.5778338943117,43.51195,"Imprecise",1.99712116748141
"West","Passeriformes","Bombycilla cedrorum","Cedar Waxwing","LC","Widespread",50,0.0377173870439653,0.0219511752517406,1.71823998539552,4.19869952573422,2.44360482902376,"Northward",1.71823998539552,0.0921979047708586,"Non-Significant","AR1",35.1,"Semi-open","Migrant","None",19.0168225361816,15.4203350760334,"Precise",2.12647583768215
"West","Galliformes","Bonasa umbellus","Ruffed Grouse","LC","Widespread",21,0.104361821681154,0.0845260075724678,1.23467113469993,11.6175579895461,9.40943516296711,"Northward",1.23467113469993,0.232005205837982,"Non-Significant","AR1",38.3,"Dense","Resident","Weak",4.18257922557639,10.6775222110889,"Precise",1.54971061265038
"West","Accipitriformes","Buteo jamaicensis","Red-tailed Hawk","LC","Widespread",52,0.256490522117228,0.220744517949606,1.16193382512803,28.5525249220898,24.5732797381501,"Northward",1.16193382512802,0.250778894054108,"Non-Significant","AR2",34.1,"Semi-open","Migrant","Weak",18.144296077601,32.0815157282524,"Precise",NA
"West","Accipitriformes","Buteo lineatus","Red-shouldered Hawk","LC","Widespread",29,0.0519385504305064,0.018879867616637,2.75100183354771,5.78179943392397,2.10170686308403,"Northward",2.75100183354771,0.0104787622834185,"Significant","AR1",33.4,"Dense","Migrant","Weak",25.1126279141443,9.8162161795547,"Precise",1.57965208919492
"West","Accipitriformes","Buteo regalis","Ferruginous Hawk","LC","West",45,0.000522514759766917,0.0600586937055829,0.0087000686749593,0.0581663430572532,6.68573378330549,"Northward",0.00870006867495928,0.99309867633722,"Non-Significant","AR2",41.3,"Open","Migrant","Weak",12.9319390276809,39.5660833333333,"Imprecise",3
"West","Passeriformes","Calcarius ornatus","Chestnut-collared Longspur","VU","West",53,-0.00306342262979844,0.014580071291602,0.210110264108444,-0.341020207149162,1.62305353618113,"Southward",-0.210110264108444,0.83441877142771,"Non-Significant","AR1",26.7,"Open","Migrant","Weak",17.3936355427505,5.80004310510092,"Precise",2.42495581953916
"West","Passeriformes","Catharus fuscescens","Veery","LC","Widespread",52,-0.0447618414533657,0.0254408852122682,1.7594451246445,-4.98288819058867,2.8320793418297,"Southward",-1.75944512464451,0.0846195540260769,"Non-Significant","AR2",28.5,"Dense","Migrant","Weak",16.4378900358833,9.68186095379655,"Precise",1.04520999279101
"West","Passeriformes","Catharus guttatus","Hermit Thrush","LC","Widespread",49,0.272082019932441,0.0560479491749523,4.85445094669109,30.2881704588793,6.23925770215569,"Northward",4.85445094669108,1.3736351365005e-05,"Significant","AR1",26.9,"Dense","Migrant","Weak",6.03616191258434,15.4956390440296,"Precise",0.840057399741593
"West","Passeriformes","Catharus ustulatus","Swainson's Thrush","LC","Widespread",50,0.256506407272291,0.0474064469880139,5.41079164479771,28.5542932575514,5.27728567870571,"Northward",5.4107916447977,1.96419457971592e-06,"Significant","AR2",30.6,"Dense","Migrant","None",8.29521843188524,16.0854776332777,"Precise",1.26620832775995
"West","Galliformes","Centrocercus urophasianus","Greater Sage-Grouse","NT","West",11,-0.0461004698835026,0.031411682007807,1.46762181891581,-5.13190430743151,3.49674844110908,"Southward",-1.46762181891581,0.176264028473715,"Non-Significant","AR1",38.7,"Open","Resident","None",2.86483909024283,46.0673666666667,"Imprecise",2.79376317038439
"West","Passeriformes","Centronyx bairdii","Baird's Sparrow","LC","West",49,-0.00184422276026932,0.0158083742801795,0.116661127044645,-0.205298877673181,1.75978822486958,"Southward",-0.116661127044645,0.907625675819231,"Non-Significant","AR1",19,"Open","Migrant","Weak",16.4506594256627,35.75835,"Imprecise",2.91689859590469
"West","Passeriformes","Certhia americana","Brown Creeper","LC","Widespread",39,0.155514918785727,0.0660519676760677,2.35443279371182,17.3119207592271,7.35290504169986,"Northward",2.35443279371183,0.0239686619688261,"Significant","AR1",24.1,"Dense","Resident","Weak",11.6499207809693,10.8868985661911,"Precise",1.24335098210077
"West","Passeriformes","Chamaea fasciata","Wrentit","LC","West",42,0.0277507784460273,0.0313971633843084,0.883862599507843,3.08921665661176,3.49513222794121,"Northward",0.883862599507844,0.38205219591146,"Non-Significant","AR1",11.8,"Semi-open","Resident","Strong",12.1876469051902,38.103725,"Imprecise",1.98549752274506
"West","Passeriformes","Chondestes grammacus","Lark Sparrow","LC","Widespread",53,0.00907142756324157,0.0403478668256643,0.224830413028712,1.00983131634005,4.49152453503295,"Northward",0.224830413028712,0.823009613822977,"Non-Significant","AR2",28.8,"Open","Partial","Weak",31.5149672376096,21.3514089566731,"Precise",1.56459022495293
"West","Accipitriformes","Circus hudsonius","Northern Harrier","LC","Widespread",50,-0.11284233212681,0.0174196522071238,6.47787514842936,-12.5616084123565,1.93915568369702,"Southward",-6.47787514842936,4.65034153093625e-08,"Significant","AR2",44.6,"Open","Migrant","Weak",14.593186658497,10.1929112143781,"Precise",1.74620342339289
"West","Passeriformes","Cistothorus palustris","Marsh Wren","LC","Widespread",49,-0.000920785414520678,0.0365091212339133,0.025220695086612,-0.102501832344442,4.06419537575923,"Southward",-0.025220695086612,0.979985709844019,"Non-Significant","AR1",20,"Open","Partial","Weak",10.775880415607,1.45030512560245,"Precise",2.06041154209271
"West","Passeriformes","Cistothorus platensis","Sedge Wren","LC","Widespread",41,-0.0172840850115036,0.0212972438945313,0.811564402281264,-1.92406434348058,2.37080919033922,"Southward",-0.811564402281264,0.421967347067981,"Non-Significant","AR2",13.4,"Open","Partial","Weak",17.8328698302683,0.97804435348479,"Precise",1.18615062034277
"West","Cuculiformes","Coccyzus erythropthalmus","Black-billed Cuckoo","LC","Widespread",51,0.0425411898434279,0.0221469057049046,1.92086381773896,4.73568525337039,2.46539354306998,"Northward",1.92086381773896,0.0605773036856677,"Non-Significant","AR1",40.8,"Dense","Migrant","Weak",16.7352432435292,7.0893449002982,"Precise",1.5928342825826
"West","Piciformes","Colaptes auratus"," Northern Flicker","LC","Widespread",53,-0.0273329462127076,0.0415971003150409,0.65708777789072,-3.04270357239861,4.63058920707035,"Southward",-0.65708777789072,0.514078992249992,"Non-Significant","AR2",24.8,"Semi-open","Partial","Weak",17.5948559590373,27.5423382581362,"Precise",0.723001805257338
"West","Passeriformes","Contopus sordidulus","Western Wood-Pewee","LC","West",51,0.384427604368044,0.158629710097043,2.42342751640199,42.7944809182507,17.6586593280028,"Northward",2.42342751640199,0.0191137233731633,"Significant","AR1",33.5,"Dense","Migrant","Weak",11.2787067547552,17.4124945174193,"Precise",1.04636748438892
"West","Passeriformes","Contopus virens","Eastern Wood-Pewee","LC","Widespread",27,-0.0959758920674155,0.0250430855206121,3.83243079166188,-10.6840363049447,2.78779628015454,"Southward",-3.83243079166188,0.000760938137059265,"Significant","AR2",31,"Dense","Migrant","Weak",22.7184931009944,13.537627083847,"Precise",0.781092304808148
"West","Passeriformes","Corvus brachyrhynchos","American Crow","LC","Widespread",53,0.0252746601214005,0.0258203481954386,0.978865967650487,2.8135751647143,2.87432116111622,"Northward",0.978865967650485,0.332266922221358,"Non-Significant","AR1",35.3,"Semi-open","Partial","None",19.6136188189603,23.58577186519,"Precise",0.456181027643809
"West","Passeriformes","Cyanocitta cristata","Blue Jay","LC","Widespread",54,0.184457253369666,0.0630335624756347,2.92633394219099,20.5337814451112,7.01689617478765,"Northward",2.92633394219099,0.00507536889862766,"Significant","AR2",17.4,"Semi-open","Resident","Weak",22.5186583742995,18.9829953061252,"Precise",0.693086218001094
"West","Passeriformes","Cyanocitta stelleri","Steller's Jay","LC","West",51,0.274656437949098,0.0894084721844209,3.07192854590525,30.5747546724936,9.95295112356973,"Northward",3.07192854590525,0.0034670336560638,"Significant","AR1",13.6,"Dense","Resident","Weak",5.82567819985308,42.345,"Imprecise",1.55831000338792
"West","Passeriformes","Dolichonyx oryzivorus","Bobolink","LC","Widespread",54,-0.00522049584359711,0.00753333146304887,0.692986345975049,-0.58114559730923,0.8386104584666,"Southward",-0.692986345975049,0.49140173502844,"Non-Significant","AR2",35.4,"Dense","Migrant","Weak",17.217435091017,7.13129663488985,"Precise",1.35805070701376
"West","Piciformes","Dryobates albolarvatus","White-headed Woodpecker","LC","West",29,0.048601653883736,0.0383980808013355,1.26573133004204,5.41033611033749,4.27447435480467,"Northward",1.26573133004204,0.216422719064431,"Non-Significant","AR1",25.8,"Semi-open","Resident","Strong",12.5900333175352,35.9233333333333,"Imprecise",3
"West","Piciformes","Dryobates pubescens","Downy Woodpecker","LC","Widespread",48,0.162184748063908,0.0622483807679443,2.60544525115467,18.0544061544742,6.92948974708756,"Northward",2.60544525115467,0.0123201928040179,"Significant","AR1",27,"Semi-open","Resident","Strong",24.1133718413827,17.2613360510739,"Precise",1.56321954223748
"West","Piciformes","Dryobates villosus","Hairy Woodpecker","LC","Widespread",49,0.125851292229138,0.0785488969281098,1.6022031772683,14.0097658509476,8.74406320603718,"Northward",1.60220317726831,0.115811168285648,"Non-Significant","AR1",25.3,"Dense","Resident","Strong",12.3464498860901,23.7704980790849,"Precise",1.18352698553188
"West","Piciformes","Dryocopus pileatus","Pileated Woodpecker","LC","Widespread",37,0.111158238017569,0.061703332349877,1.80149489151197,12.3741350561158,6.86881495718831,"Northward",1.80149489151197,0.0802451537092802,"Non-Significant","AR1",25.3,"Dense","Resident","Weak",26.1889776494441,15.8358217647024,"Precise",1.80202344487839
"West","Passeriformes","Dumetella carolinensis","Gray Catbird","LC","Widespread",53,-0.0294403843946532,0.0110916904841498,2.65427388518675,-3.27730359081279,1.23472698469556,"Southward",-2.65427388518675,0.0105741979319016,"Significant","AR1",18.6,"Dense","Migrant","Strong",20.1917889168586,8.87389899603868,"Precise",0.805637341508216
"West","Passeriformes","Empidonax alnorum","Alder Flycatcher","LC","Widespread",35,0.119432023365115,0.0249413542667732,4.78851397112073,13.2951728410046,2.77647155697719,"Northward",4.78851397112075,3.43543365117143e-05,"Significant","AR1",19.2,"Dense","Migrant","Weak",15.1611190347331,12.4686083064179,"Precise",0.84554444766171
"West","Passeriformes","Empidonax difficilis","Pacific-slope Flycatcher","LC","West",49,0.307108222116886,0.113603507871963,2.70333397154437,34.1872872860517,12.6463424963069,"Northward",2.70333397154438,0.009525031632266,"Significant","AR2",21.8,"Dense","Migrant","Weak",9.23554979797911,3.32399559380492,"Precise",1.41619435478223
"West","Passeriformes","Empidonax hammondii","Hammond's Flycatcher","LC","West",41,0.231473626171326,0.0473684245889882,4.88666507657375,25.767644065392,5.27305302524617,"Northward",4.88666507657375,1.78975242642565e-05,"Significant","AR1",23.1,"Dense","Migrant","Weak",11.2890794985876,10.3842175257226,"Precise",1.06406335228335
"West","Passeriformes","Empidonax minimus","Least Flycatcher","LC","Widespread",49,-0.0582776839170488,0.0140077323341015,4.16039388296799,-6.48747177364587,1.55934076343218,"Southward",-4.16039388296798,0.000133975915669464,"Significant","AR1",22.8,"Dense","Migrant","Strong",15.6199509415006,9.50601856487052,"Precise",0.961417953336254
"West","Passeriformes","Empidonax oberholseri","Dusky Flycatcher","LC","West",51,-0.132796926133499,0.0241837366846901,5.49116655812616,-14.7829538171811,2.6921335677397,"Southward",-5.49116655812615,1.40814455814336e-06,"Significant","AR1",18.7,"Semi-open","Migrant","Weak",8.99328049855509,9.99582336815911,"Precise",1.67957463429196
"West","Passeriformes","Empidonax occidentalis","Cordilleran Flycatcher","LC","West",29,-0.0942367733778694,0.11364412876523,0.829226942049483,-10.4904376124244,12.6508644141454,"Southward",-0.829226942049486,0.414247232301269,"Non-Significant","AR1",20.6,"Dense","Migrant","Weak",6.06917345353371,6.67041990342693,"Precise",1.72716613097411
"West","Passeriformes","Empidonax traillii","Willow Flycatcher","LC","Widespread",53,-0.0121831133234367,0.00403188227437256,3.02169371384551,-1.35622417516497,0.448829134783153,"Southward",-3.0216937138455,0.00392417395147118,"Significant","AR1",23.5,"Semi-open","Migrant","Strong",12.0667149246385,21.6653232847101,"Precise",1.48387976999752
"West","Passeriformes","Empidonax wrightii","Gray Flycatcher","LC","West",34,-0.114330324503229,0.0379519538686255,3.01250167248292,-12.7272517236995,4.22481150465539,"Southward",-3.01250167248293,0.00503139423852826,"Significant","AR1",21.3,"Semi-open","Migrant","None",12.7998434531829,35.75835,"Imprecise",2.00307640861632
"West","Passeriformes","Euphagus cyanocephalus","Brewer's Blackbird","LC","Widespread",53,0.317049664628191,0.145899128704514,2.17307442096042,35.2939686664102,16.2414910073865,"Northward",2.17307442096041,0.0344441608677445,"Significant","AR1",31.2,"Open","Partial","Weak",9.14471149263047,13.9977344976889,"Precise",1.20897648261718
"West","Passeriformes","Geothlypis tolmiei","MacGillivray's Warbler","LC","West",53,0.0221065023099159,0.032424654256353,0.681780664032356,2.46089583713984,3.60951251181722,"Northward",0.681780664032355,0.498462276193048,"Non-Significant","AR2",22.9,"Dense","Migrant","Weak",10.3019503302906,11.8777851513466,"Precise",1.54578512755225
"West","Passeriformes","Geothlypis trichas","Common Yellowthroat","LC","Widespread",53,0.0440652399583404,0.0299601378465977,1.47079563465174,4.90534251216245,3.33516254508326,"Northward",1.47079563465175,0.14748976979014,"Non-Significant","AR1",16.1,"Dense","Migrant","Weak",18.1394551794115,20.4346656334088,"Precise",0.800344199066559
